股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
600143.SH,黑三鸦,2024-07-10,6.05,1600,9680.00,2024-07-24,5.82,持仓10天到期,-368.00,-3.80%
600170.SH,黑三鸦,2024-07-10,2.11,4700,9917.00,2024-07-24,2.25,持仓10天到期,658.00,6.64%
600233.SH,黑三鸦,2024-07-10,14.59,600,8754.00,2024-07-24,13.92,持仓10天到期,-402.00,-4.59%
600256.SH,黑三鸦,2024-07-10,5.91,1600,9456.00,2024-07-24,5.76,持仓10天到期,-240.00,-2.54%
600887.SH,黑三鸦,2024-07-10,24.81,400,9924.00,2024-07-24,25.05,持仓10天到期,96.00,0.97%
603833.SH,黑三鸦,2024-07-10,46.95,200,9390.00,2024-07-24,44.08,持仓10天到期,-574.00,-6.11%
600188.SH,黑三鸦,2024-07-12,15.09,600,9054.00,2024-07-26,14.90,持仓10天到期,-114.00,-1.26%
600309.SH,黑三鸦,2024-07-12,81.30,100,8130.00,2024-07-26,79.31,持仓10天到期,-199.00,-2.45%
600143.SH,黑三鸦,2024-07-26,5.93,1600,9488.00,2024-07-31,6.52,止盈(10.0%),948.80,10.00%
603833.SH,黑三鸦,2024-07-26,44.62,200,8924.00,2024-08-08,49.08,止盈(10.0%),892.40,10.00%
002493.SZ,黑三鸦,2024-07-26,8.86,1100,9746.00,2024-08-09,9.16,持仓10天到期,330.00,3.39%
600690.SH,黑三鸦,2024-07-26,26.80,300,8040.00,2024-08-09,25.42,持仓10天到期,-414.00,-5.15%
601901.SH,黑三鸦,2024-07-26,7.29,1300,9477.00,2024-08-09,7.31,持仓10天到期,26.00,0.27%
300003.SZ,黑三鸦,2024-08-01,13.12,700,9184.00,2024-08-13,12.20,止损(7.0%),-642.88,-7.00%
000786.SZ,黑三鸦,2024-08-07,24.75,400,9900.00,2024-08-21,24.54,持仓10天到期,-84.00,-0.85%
601808.SH,黑三鸦,2024-08-07,14.36,600,8616.00,2024-08-21,14.29,持仓10天到期,-42.00,-0.49%
600741.SH,黑三鸦,2024-08-16,14.43,600,8658.00,2024-08-21,13.42,止损(7.0%),-606.06,-7.00%
002531.SZ,黑三鸦,2024-08-22,7.31,1300,9503.00,2024-08-27,6.80,止损(7.0%),-665.21,-7.00%
000877.SZ,黑三鸦,2024-08-26,5.30,1800,9540.00,2024-08-27,4.93,止损(7.0%),-667.80,-7.00%
600011.SH,黑三鸦,2024-08-14,7.36,1300,9568.00,2024-08-28,7.04,持仓10天到期,-416.00,-4.35%
300003.SZ,黑三鸦,2024-08-26,10.16,900,9144.00,2024-08-28,9.45,止损(7.0%),-640.08,-7.00%
600887.SH,黑三鸦,2024-08-26,23.18,400,9272.00,2024-08-30,21.56,止损(7.0%),-649.04,-7.00%
600741.SH,黑三鸦,2024-08-26,13.59,700,9513.00,2024-09-02,14.95,止盈(10.0%),951.30,10.00%
601186.SH,黑三鸦,2024-09-02,7.73,1200,9276.00,2024-09-04,7.19,止损(7.0%),-649.32,-7.00%
601390.SH,黑三鸦,2024-09-02,5.70,1700,9690.00,2024-09-04,5.30,止损(7.0%),-678.30,-7.00%
600011.SH,黑三鸦,2024-08-22,7.17,1300,9321.00,2024-09-05,6.67,止损(7.0%),-652.47,-7.00%
000063.SZ,黑三鸦,2024-08-26,24.38,400,9752.00,2024-09-09,23.53,持仓10天到期,-340.00,-3.49%
000983.SZ,黑三鸦,2024-08-26,7.68,1300,9984.00,2024-09-09,7.25,持仓10天到期,-559.00,-5.60%
002008.SZ,黑三鸦,2024-08-26,18.66,500,9330.00,2024-09-09,18.61,持仓10天到期,-25.00,-0.27%
600004.SH,黑三鸦,2024-08-26,8.86,1100,9746.00,2024-09-09,8.86,持仓10天到期,0.00,0.00%
600132.SH,黑三鸦,2024-08-26,53.80,100,5380.00,2024-09-09,52.35,持仓10天到期,-145.00,-2.70%
600585.SH,黑三鸦,2024-08-26,21.56,400,8624.00,2024-09-09,20.42,持仓10天到期,-456.00,-5.29%
600600.SH,黑三鸦,2024-08-26,58.25,100,5825.00,2024-09-09,55.97,持仓10天到期,-228.00,-3.91%
600848.SH,黑三鸦,2024-09-02,8.81,1100,9691.00,2024-09-10,8.19,止损(7.0%),-678.37,-7.00%
000027.SZ,黑三鸦,2024-08-29,5.82,1700,9894.00,2024-09-12,5.46,持仓10天到期,-612.00,-6.19%
600887.SH,黑三鸦,2024-08-30,21.60,400,8640.00,2024-09-13,21.57,持仓10天到期,-12.00,-0.14%
603833.SH,黑三鸦,2024-08-30,41.80,200,8360.00,2024-09-13,40.69,持仓10天到期,-222.00,-2.66%
600170.SH,黑三鸦,2024-09-02,1.99,5000,9950.00,2024-09-18,1.93,持仓10天到期,-300.00,-3.02%
601128.SH,黑三鸦,2024-09-02,6.48,1500,9720.00,2024-09-18,6.03,止损(7.0%),-680.40,-7.00%
601668.SH,黑三鸦,2024-09-06,5.08,1900,9652.00,2024-09-18,4.72,止损(7.0%),-675.64,-7.00%
601186.SH,黑三鸦,2024-09-06,7.14,1400,9996.00,2024-09-24,7.26,持仓10天到期,168.00,1.68%
601390.SH,黑三鸦,2024-09-06,5.30,1800,9540.00,2024-09-24,5.37,持仓10天到期,126.00,1.32%
601838.SH,黑三鸦,2024-09-09,13.43,700,9401.00,2024-09-25,14.53,持仓10天到期,770.00,8.19%
